202410#//#1478#//#Mohamed Abdullah#//#0556123456#//#15250.750000
202411#//#8521#//#Fatima Al-Zahra#//#0501987654#//#3540.500000
202412#//#9630#//#Ali Ibrahim#//#0569234567#//#89000.000000
202413#//#2589#//#Sarah Mahmoud#//#0537012345#//#1200.250000
202414#//#3698#//#Ahmed Khaled#//#0544567890#//#45000.000000
202415#//#1122#//#Layla Hassan#//#0583344556#//#980.000000
202416#//#7410#//#Yousef Kamal#//#0595566778#//#11450.000000
202417#//#1357#//#Noura Faisal#//#0500121314#//#62000.800000
202418#//#2468#//#Khaled Waleed#//#0572233445#//#450.990000
202419#//#8080#//#Mariam Sami#//#0506070809#//#27500.000000
202420#//#1010#//#Imran Salah#//#0531425364#//#5120.400000
